ABCA_ASPFU,SKIP_transporter
ABCA_ASPFU,SKIP_transporter
ABCC_ASPFU,SKIP_transporter
ABP1_SCHPO,SKIP_Ars
AL1A1_HUMAN,SKIP_ALDH1A1
AL1A1_MACFA,SKIP_ALDH1A1
ALDH4_YEAST,SKIP_ALDH
ALDH_ALTAL,SKIP_ALDH
APMA_PENBR,SKIP_NRPS
ATRC_EMEND,SKIP_transporter
ATRD_EMEND,SKIP_transporter
ATRG_ASPOR,SKIP_transporter
CBH1_SCHPO,DNA/Tigger
CBH2_SCHPO,DNA/Tigger
COPIA_DROME,LTR/Copia
FTMA_NEOFI,SKIP_NRPS
HUS2_SCHPO,SKIP_helicase
ISW2_CANAL,SKIP_ISW2
ISW2_YEAST,SKIP_ISW2
MDR1_ASPFU,SKIP_transporter
MDR2_TRIEC,SKIP_transporter
MDR2_TRIIM,SKIP_transporter
MDR49_DROME,SKIP_transporter
MFSA_ASPFU,SKIP_transporter
NPS1_AJECA,SKIP_NRPS
NRPS8_ASPFU,SKIP_NRPS
POL2_DROME,LTR/TY3
POL3_DROME,LTR/TY3
POL5_DROME,LTR/TY3
POLX_TOBAC,LTR/TNT1-94
POL_CSVMV,LTR/CsVMV
PS10A_ARATH,SKIP_Proteosome
PS10B_ARATH,SKIP_Proteosome
RECQ_BACSU,SKIP_helicase
RQL3_ARATH,SKIP_helicase
RRPO_OENBE,LTR/Unclassified
SNF21_SCHPO,SKIP_SWISNF
SNF22_SCHPO,SKIP_SWISNF
SNF2_YEAST,SKIP_SWISNF
TF28_SCHPO,LTR/Tf2
TF27_SCHPO,LTR/Tf2
STL1_YEAST,SKIP_transporter
TIGD6_HUMAN,DNA/Tigger
YG31B_YEAST,LTR/TY3
